2020/07/09-10:40:04 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16612a51, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54e041a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c78324b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79defdc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@18317edc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4e0ae11f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@238d68ff, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b86805d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5852c06f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4149c063, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@9cb8225, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@76b07f29, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@38af9828]
2020/07/09-10:40:04 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- Starting GlWechatApplicationTests on LAPTOP-UFUB5A9M with PID 6212 (started by zhaoCong in C:\workSoft\ideaWorkSpace\gl_wechat)
2020/07/09-10:40:04 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- The following profiles are active: dev
2020/07/09-10:40:06 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
2020/07/09-10:40:07 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- Started GlWechatApplicationTests in 2.448 seconds (JVM running for 3.804)
2020/07/09-10:40:07 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Shutting down ExecutorService 'applicationTaskExecutor'
2020/07/09-10:45:00 [main] INFO  com.gl.gl_wechat.GlWechatApplication- Starting GlWechatApplication on LAPTOP-UFUB5A9M with PID 3024 (C:\workSoft\ideaWorkSpace\gl_wechat\target\classes started by zhaoCong in C:\workSoft\ideaWorkSpace\gl_wechat)
2020/07/09-10:45:00 [main] INFO  com.gl.gl_wechat.GlWechatApplication- The following profiles are active: dev
2020/07/09-10:45:00 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8890 (http)
2020/07/09-10:45:00 [main] INFO  org.apache.coyote.http11.Http11NioProtocol- Initializing ProtocolHandler ["http-nio-8890"]
